agent_id,eVTOL_type,simulation_type,algorithm_type,Number_of_conflicts,Desired_time_of_departure,Actual_time_of_departure,Ideal_time_of_arrival,Actual_time_of_arrival,Time_required_for_preflight_calculation,Average_time_to_plan_avoidance,Total_planning_time,Location_of_weather_statistics
155481,lift_and_cruse,reactive,MVP_Bluesky,0,5795.0,6820.0,7669.973760749345,9022.610141082918,,0.0002437669743773,0.0906813144683837,
197233,lift_and_cruse,reactive,MVP_Bluesky,0,1955.0,1955.0,3182.4584549556994,3182.8360518320146,,0.0002855830941318,0.0691111087799072,
155123,lift_and_cruse,reactive,MVP_Bluesky,0,5705.0,6610.0,6413.673469387755,7318.675749866323,,0.0002436516941457,0.0336239337921142,
1553,lift_and_cruse,reactive,MVP_Bluesky,1,2310.0,4695.0,3018.673469387755,6537.519850782445,,0.0002525864745215,0.035109519958496,
252619,lift_and_cruse,reactive,MVP_Bluesky,71,3700.0,4170.0,4927.458454955699,7254.373895993172,,0.000264036753946,0.063896894454956,
2592,lift_and_cruse,reactive,MVP_Bluesky,2,4820.0,4820.0,5528.673469387755,7230.154607059428,,0.0002496363460153,0.034449815750122,
55683,lift_and_cruse,reactive,MVP_Bluesky,0,6140.0,7640.0,8594.916909911399,10095.215759630582,,0.0002452005351103,0.1194126605987548,
339416,lift_and_cruse,reactive,MVP_Bluesky,1,8340.0,8340.0,9757.34693877551,10272.637405128591,,0.0002461680344172,0.0689270496368408,
197689,lift_and_cruse,reactive,MVP_Bluesky,0,9005.0,9010.0,10879.973760749344,10885.215241291196,,0.0002428810551481,0.0901088714599609,
338860,lift_and_cruse,reactive,MVP_Bluesky,3,4040.0,4040.0,4748.673469387755,5409.073384169328,,0.0002762407496355,0.038121223449707,
55194,lift_and_cruse,reactive,MVP_Bluesky,0,1410.0,1410.0,2827.34693877551,2834.8727873085686,,0.0002820788753414,0.0792641639709472,
117448,lift_and_cruse,reactive,MVP_Bluesky,0,14235.0,14235.0,14943.673469387755,14943.673469387744,,0.0002651421920112,0.0365896224975585,
248998,lift_and_cruse,reactive,MVP_Bluesky,19,1390.0,1390.0,4224.693877551021,4745.1986772763175,,0.0002584448927884,0.1455044746398925,
2757,lift_and_cruse,reactive,MVP_Bluesky,1,2310.0,4695.0,3018.673469387755,7342.519850782445,,0.0002525864745215,0.035109519958496,
534,lift_and_cruse,reactive,MVP_Bluesky,0,3125.0,3510.0,4999.973760749344,5595.073075601568,,0.0002504673929548,0.0929234027862548,
251946,lift_and_cruse,reactive,MVP_Bluesky,71,3700.0,4170.0,4927.458454955699,6774.3738959931725,,0.000264036753946,0.063896894454956,
2786,lift_and_cruse,reactive,MVP_Bluesky,2,4820.0,4820.0,5528.673469387755,7365.154607059428,,0.0002496363460153,0.034449815750122,
250392,lift_and_cruse,reactive,MVP_Bluesky,28,3830.0,3830.0,5704.973760749345,5794.840442253835,,0.0002757224839987,0.1069803237915039,
86185,lift_and_cruse,reactive,MVP_Bluesky,0,9875.0,9875.0,10583.673469387755,10583.673469387752,,0.0002364714940388,0.0326330661773681,
55412,lift_and_cruse,reactive,MVP_Bluesky,0,5020.0,5020.0,5728.673469387755,5728.947142932799,,0.0002772790798242,0.038264513015747,
250627,lift_and_cruse,reactive,MVP_Bluesky,0,3580.0,3585.0,4997.34693877551,5918.048910878359,,0.0002528897353581,0.0708091259002685,
251541,lift_and_cruse,reactive,MVP_Bluesky,28,3830.0,3830.0,5704.973760749345,6464.840442253835,,0.0002757224839987,0.1069803237915039,
252655,lift_and_cruse,reactive,MVP_Bluesky,25,5070.0,5070.0,7196.0204081632655,7273.0274212104305,,0.0002801688212268,0.1187915802001953,
806,lift_and_cruse,reactive,MVP_Bluesky,3,3660.0,4265.0,4887.458454955699,5898.948183565938,,0.0002471986880972,0.0598220825195312,
155538,lift_and_cruse,reactive,MVP_Bluesky,1,6575.0,6575.0,8701.020408163266,9088.38062715765,,0.0002862938207472,0.1208159923553466,
252773,lift_and_cruse,reactive,MVP_Bluesky,28,3830.0,3830.0,5704.973760749345,7349.840442253835,,0.0002757224839987,0.1069803237915039,
3459,lift_and_cruse,reactive,MVP_Bluesky,0,4120.0,4120.0,5347.4584549556985,5348.469134120023,,0.0002549118246913,0.0616886615753173,
155584,lift_and_cruse,reactive,MVP_Bluesky,0,8375.0,8385.0,9083.673469387755,9131.50031728698,,0.0002413647515433,0.0337910652160644,
1072,lift_and_cruse,reactive,MVP_Bluesky,3,3660.0,4265.0,4887.458454955699,6203.948183565938,,0.0002471986880972,0.0598220825195312,
155226,lift_and_cruse,reactive,MVP_Bluesky,0,5105.0,7445.0,6332.458454955699,8720.790723102176,,0.0002392937617046,0.0581483840942382,
252223,lift_and_cruse,reactive,MVP_Bluesky,37,4380.0,4380.0,5607.458454955699,6982.650308689908,,0.0002749301343557,0.0684576034545898,
3055,lift_and_cruse,reactive,MVP_Bluesky,18,5540.0,5540.0,6248.673469387755,7547.632495156176,,0.0002870830238288,0.0404787063598632,
2013,lift_and_cruse,reactive,MVP_Bluesky,0,2730.0,5335.0,3957.4584549556994,6832.365627260318,,0.0002509638911387,0.0612351894378662,
249625,lift_and_cruse,reactive,MVP_Bluesky,3,3620.0,3620.0,5037.34693877551,5252.963268964736,,0.0002546777080386,0.0715644359588623,
338971,lift_and_cruse,reactive,MVP_Bluesky,1,3885.0,4140.0,6719.693877551021,6977.014859474301,,0.000271034156177,0.1528632640838623,
3964,lift_and_cruse,reactive,MVP_Bluesky,0,12920.0,12920.0,13628.673469387755,13628.948313132025,,0.0002337486847587,0.0322573184967041,
301680,lift_and_cruse,reactive,MVP_Bluesky,0,5895.0,5895.0,7769.973760749345,7771.7950641862835,,0.0002633698524967,0.0979735851287841,
2051,lift_and_cruse,reactive,MVP_Bluesky,14,4420.0,4420.0,6294.973760749344,6857.60078959152,,0.0002585853319711,0.0998139381408691,
85760,lift_and_cruse,reactive,MVP_Bluesky,0,4795.0,5365.0,5503.673469387755,6074.081390962835,,0.0002437467160432,0.0336370468139648,
252144,lift_and_cruse,reactive,MVP_Bluesky,37,4270.0,4270.0,5497.458454955699,6928.686392131791,,0.0002774745225906,0.0710334777832031,
339309,lift_and_cruse,reactive,MVP_Bluesky,0,7245.0,8410.0,8662.34693877551,10103.32950579063,,0.0002410496984209,0.0674939155578613,
252757,lift_and_cruse,reactive,MVP_Bluesky,71,3700.0,4170.0,4927.458454955699,7339.373895993172,,0.000264036753946,0.063896894454956,
55247,lift_and_cruse,reactive,MVP_Bluesky,0,1720.0,1720.0,3594.9737607493453,3595.4943045877662,,0.0002583701123473,0.0961136817932128,
55720,lift_and_cruse,reactive,MVP_Bluesky,0,9325.0,9325.0,10742.34693877551,10742.569165747354,,0.000228316443307,0.0639286041259765,
248789,lift_and_cruse,reactive,MVP_Bluesky,21,1955.0,1965.0,4081.0204081632655,4434.391182787936,,0.0002639982937636,0.1114072799682617,
85764,lift_and_cruse,reactive,MVP_Bluesky,0,4270.0,4270.0,6144.973760749344,6146.041164540812,,0.0002495492658307,0.092832326889038,
250804,lift_and_cruse,reactive,MVP_Bluesky,0,3580.0,3585.0,4997.34693877551,6008.048910878359,,0.0002528897353581,0.0708091259002685,
337590,lift_and_cruse,reactive,MVP_Bluesky,0,2040.0,2040.0,3457.3469387755104,3457.437373164644,,0.0002565196582249,0.0718255043029785,
250157,lift_and_cruse,reactive,MVP_Bluesky,0,3580.0,3585.0,4997.34693877551,5658.048910878359,,0.0002528897353581,0.0708091259002685,
253196,lift_and_cruse,reactive,MVP_Bluesky,37,4380.0,4380.0,5607.458454955699,7577.650308689908,,0.0002749301343557,0.0684576034545898,
155565,lift_and_cruse,reactive,MVP_Bluesky,1,6555.0,6555.0,8681.020408163266,9119.034229153796,,0.0002851514454701,0.1203339099884033,
197181,lift_and_cruse,reactive,MVP_Bluesky,0,460.0,460.0,2334.9737607493453,2334.973760749361,,0.0002273832048688,0.0843591690063476,
