agent_id,eVTOL_type,simulation_type,algorithm_type,Number_of_conflicts,Desired_time_of_departure,Actual_time_of_departure,Ideal_time_of_arrival,Actual_time_of_arrival,Time_required_for_preflight_calculation,Average_time_to_plan_avoidance,Total_planning_time,Location_of_weather_statistics
154334,lift_and_cruse,reactive,MVP_Bluesky,0,240.0,240.0,948.6734693877552,937.0774125942228,,0.0001801690634559,0.0245029926300048,ORD
295217,lift_and_cruse,reactive,MVP_Bluesky,0,1485.0,1485.0,2193.673469387755,2199.919466549063,,0.0002493120783524,0.0346543788909912,BOS
176853,lift_and_cruse,reactive,MVP_Bluesky,5,3265.0,3265.0,3973.673469387755,5565.128328411529,,0.0003007432104836,0.0427055358886718,JFK
247996,lift_and_cruse,reactive,MVP_Bluesky,5,5250.0,5250.0,5958.673469387755,6485.8759013068975,,0.0003552794456481,0.049739122390747,ORD
109703,lift_and_cruse,reactive,MVP_Bluesky,0,3350.0,3350.0,4058.673469387755,4101.5919678302425,,0.0002502567914067,0.0367877483367919,LAX
148968,lift_and_cruse,reactive,MVP_Bluesky,0,6310.0,6310.0,7018.673469387755,7019.63800163367,,0.0002399026483729,0.0331065654754638,ORD
52184,lift_and_cruse,reactive,MVP_Bluesky,0,4865.0,6870.0,5573.673469387755,7958.333375936469,,0.0002479702234268,0.0357077121734619,ORD
131292,lift_and_cruse,reactive,MVP_Bluesky,0,3680.0,3735.0,4388.673469387755,4476.28530221559,,0.0002717906031115,0.0394096374511718,JFK
291511,lift_and_cruse,reactive,MVP_Bluesky,0,2375.0,3015.0,3083.673469387755,3724.120517887052,,0.0002657313277755,0.0366709232330322,ATL
199062,lift_and_cruse,reactive,MVP_Bluesky,2,2645.0,2645.0,3353.673469387755,3959.671776797006,,0.0002585757862437,0.0369763374328613,ATL
309667,lift_and_cruse,reactive,MVP_Bluesky,5,3495.0,3620.0,4203.673469387755,7138.364071730149,,0.0002761676031,0.0375587940216064,JFK
78509,lift_and_cruse,reactive,MVP_Bluesky,0,1960.0,2725.0,2668.673469387755,3437.6265129445137,,0.0002543514581035,0.0353548526763916,LAX
282293,lift_and_cruse,reactive,MVP_Bluesky,0,2870.0,2870.0,3578.673469387755,3657.996053077473,,0.0002679824829101,0.0401973724365234,ORD
352755,lift_and_cruse,reactive,MVP_Bluesky,0,2840.0,2840.0,3548.673469387755,3510.610745665322,,0.000262537075363,0.0343923568725585,BOS
